   38.5358985790  141.1384388865    4.0000000000
   35.4717207030  138.5672885712    4.0000000000
   35.4717207030  138.5672885712    6.0000000000
   38.5358985790  141.1384388865    6.0000000000

   38.5358985790  141.1384388865    4.0000000000
   39.2304258141  137.1992856882    4.0000000000
   39.2304258141  137.1992856882    6.0000000000
   38.5358985790  141.1384388865    6.0000000000

   38.5358985790  141.1384388865    4.0000000000
   42.2946036901  139.7704360035    4.0000000000
   42.2946036901  139.7704360035    6.0000000000
   38.5358985790  141.1384388865    6.0000000000

   38.5358985790  141.1384388865    4.0000000000
   41.6000764551  143.7095892018    4.0000000000
   41.6000764551  143.7095892018    6.0000000000
   38.5358985790  141.1384388865    6.0000000000

   38.5358985790  141.1384388865    4.0000000000
   37.8413713440  145.0775920848    4.0000000000
   37.8413713440  145.0775920848    6.0000000000
   38.5358985790  141.1384388865    6.0000000000

   38.5358985790  141.1384388865    4.0000000000
   34.7771934680  142.5064417695    4.0000000000
   34.7771934680  142.5064417695    6.0000000000
   38.5358985790  141.1384388865    6.0000000000

   38.5358985790  141.1384388865    4.0000000000
   35.4717207030  138.5672885712    4.0000000000
   35.4717207030  138.5672885712    6.0000000000
   38.5358985790  141.1384388865    6.0000000000

